model_name,sigma,err
nn,0.1788888888888889,0.010082069527085
nn,0.2,0.0110462825847783
nn,0.01,0.000100685101075
nn,0.0311111111111111,0.0016725398243897
nn,0.0522222222222222,0.0021219764777037
nn,0.0733333333333333,0.0039597157310257
nn,0.0944444444444444,0.0048345742707968
nn,0.1155555555555555,0.0028465894923716
nn,0.1366666666666667,0.012489889614964
nn,0.1577777777777778,0.0070873598728957
nn,0.1788888888888889,0.0109305875994378
nn,0.2,0.0084199943044746
nn,0.01,8.467539220714664e-05
nn,0.0311111111111111,0.000203717145526
nn,0.0522222222222222,0.0005720916453591
nn,0.0733333333333333,0.0010604340416731
nn,0.0944444444444444,0.0029710423418012
nn,0.1155555555555555,0.0064923942213596
nn,0.1366666666666667,0.0075803643182125
nn,0.1577777777777778,0.0118772637941074
nn,0.1788888888888889,0.0118071244466181
nn,0.2,0.015103981807467
nn,0.01,1.4043375098767438e-05
nn,0.0311111111111111,0.0001007344263689
nn,0.0522222222222222,0.0002429072648943
nn,0.0733333333333333,0.0009693093408443
nn,0.0944444444444444,0.0013401054418397
nn,0.1155555555555555,0.0029916095510623
nn,0.1366666666666667,0.0053825465298429
nn,0.1577777777777778,0.007458090405263
nn,0.1788888888888889,0.0071070490753428
nn,0.2,0.008763664992488
nn,0.01,0.0001684695637885
nn,0.0311111111111111,0.0004038479201579
nn,0.0522222222222222,0.0014059601916272
nn,0.0733333333333333,0.0011607185557718
nn,0.0944444444444444,0.0032926563520909
nn,0.1155555555555555,0.004429606971259
nn,0.1366666666666667,0.0070279563579535
nn,0.1577777777777778,0.0078576422123912
nn,0.1788888888888889,0.0098171696184777
nn,0.2,0.0100276152260061
nn,0.01,3.461990744299938e-05
nn,0.0311111111111111,0.000144090385068
nn,0.0522222222222222,0.0011831736498669
nn,0.0733333333333333,0.0007040374814913
nn,0.0944444444444444,0.0009228399442673
nn,0.1155555555555555,0.0030379039220534
nn,0.1366666666666667,0.0015997139202759
nn,0.1577777777777778,0.0029170288240997
nn,0.1788888888888889,0.0034767208543133
nn,0.2,0.0038680215957521
nn,0.01,0.0001495470860253
nn,0.0311111111111111,0.0005221339380202
nn,0.0522222222222222,0.0006430762635769
nn,0.0733333333333333,0.0011353412468957
nn,0.0944444444444444,0.0013465982569742
nn,0.1155555555555555,0.0022864974871099
nn,0.1366666666666667,0.0032875631291244
nn,0.1577777777777778,0.004452590412784
nn,0.1788888888888889,0.0062560840290963
nn,0.2,0.0072497888597808
nn,0.01,8.145153312701883e-05
nn,0.0311111111111111,0.0002571335727904
nn,0.0522222222222222,0.0008259361610723
nn,0.0733333333333333,0.0025276418100567
